SEQ_NO,CNSLT_TY_NM,BASE_YEAR,CNSLT_NCNT
1,가정,2014,"287,465"
2,일탈/비행,2014,"427,998"
3,학업/진로,2014,"1,145,148"
4,성,2014,"79,638"
5,대인 관계,2014,"789,687"
6,성격,2014,"304,951"
7,정신 건강,2014,"427,677"
8,생활 습관 태도,2014,"31,649"
9,활동,2014,"57,256"
10,컴퓨터/인터넷,2014,"323,806"
11,단순 정보 제공,2014,"260,562"
12,가정,2015,"304,204"
13,일탈/비행,2015,"448,964"
14,학업/진로,2015,"812,280"
15,성,2015,"70,556"
16,대인 관계,2015,"888,650"
17,성격,2015,"305,755"
18,정신 건강,2015,"471,611"
19,생활 습관 태도,2015,"36,358"
20,활동,2015,"57,375"
21,컴퓨터/인터넷,2015,"343,910"
22,단순 정보 제공,2015,"235,799"
23,가정,2016,"335,743"
24,일탈/비행,2016,"414,885"
25,학업/진로,2016,"846,273"
26,성,2016,"70,055"
27,대인 관계,2016,"1,062,059"
28,성격,2016,"301,534"
29,정신 건강,2016,"521,613"
30,생활 습관 태도,2016,"47,216"
31,활동,2016,"68,117"
32,컴퓨터/인터넷,2016,"358,128"
33,단순 정보 제공,2016,"264,928"
34,가정,2017,"357,471"
35,일탈/비행,2017,"442,572"
36,학업/진로,2017,"826,084"
37,성,2017,"90,112"
38,대인 관계,2017,"1,257,287"
39,성격,2017,"329,809"
40,정신 건강,2017,"567,981"
41,생활 습관 태도,2017,"40,173"
42,활동,2017,"78,942"
43,컴퓨터/인터넷,2017,"389,345"
44,단순 정보 제공,2017,"263,852"
45,가정,2018,"388,601"
46,일탈/비행,2018,"522,910"
47,학업/진로,2018,"839,102"
48,성,2018,"86,701"
49,대인 관계,2018,"1,329,866"
50,성격,2018,"340,885"
51,정신 건강,2018,"738,188"
52,생활 습관 태도,2018,"41,507"
53,활동,2018,"86,943"
54,컴퓨터/인터넷,2018,"427,140"
55,단순 정보 제공,2018,"253,835"
56,가정,2019,"383,802"
57,일탈/비행,2019,"584,748"
58,학업/진로,2019,"690,481"
59,성,2019,"83,249"
60,대인 관계,2019,"1,408,054"
61,성격,2019,"340,877"
62,정신 건강,2019,"826,767"
63,생활 습관 태도,2019,"37,208"
64,활동,2019,"71,953"
65,컴퓨터/인터넷,2019,"443,856"
66,단순 정보 제공,2019,"270,946"
67,가정,2020,"416,755"
68,일탈/비행,2020,"405,338"
69,학업/진로,2020,"513,842"
70,성,2020,"69,612"
71,대인 관계,2020,"854,287"
72,성격,2020,"246,329"
73,정신 건강,2020,"788,782"
74,생활 습관 태도,2020,"38,444"
75,활동,2020,"38,882"
76,컴퓨터/인터넷,2020,"324,931"
77,단순 정보 제공,2020,"275,851"
78,가정,2021,"485,261"
79,일탈/비행,2021,"460,653"
80,학업/진로,2021,"615,546"
81,성,2021,"82,274"
82,대인 관계,2021,"1,116,861"
83,성격,2021,"341,910"
84,정신 건강,2021,"1,130,526"
85,생활 습관 태도,2021,"44,123"
86,활동,2021,"52,856"
87,컴퓨터/인터넷,2021,"459,028"
88,단순 정보 제공,2021,"309,094"
