시설명,시도명,시군구명,주소,전화번호,데이터기준일자
서울시립청소년이동쉼터(서북권),서울,종로구,"서울 종로구 종로 11길 11, 3층(인사동 YMCA 별관)",02-722-1318,2022-07-31
서울시립청소년이동쉼터(서남권),서울,종로구,"서울 종로구 종로 11길 11, 3층(인사동 YMCA 별관)",02-722-1318,2022-07-31
서울시립청소년이동쉼터(동북권),서울,강동구,서울 강동구 양재대로81길 39 (성내동) B1층,02-6239-2014,2022-07-31
서울시립청소년이동쉼터(동남권),서울,강동구,서울 강동구 양재대로81길 39 (성내동) B1층,02-6239-2014,2022-07-31
서울특별시청소년일시쉼터(용산일시),서울,용산구,서울 용산구 만리재로 156-1(서계로),02-718-1318,2022-07-31
서울시립강북청소년드림센터,서울,강북구,서울 강북구 한천로140길 5-26(수유3동),02-6435-7979,2022-07-31
서울시립강남일시청소년쉼터,서울,강남구,서울 강남구 봉은사로 114길 43 신관 5층,02-2051-1371,2022-07-31
은평구립일시청소년쉼터,서울,은평구,서울 은평구 통일로 89길 6-20 (갈현동),02-382-1388,2022-07-31
강서청소년쉼터,서울,강서구,"서울 강서구 초록마을로 10길 5, 201호",02-2697-7377,2022-07-31
서울시립신림청소년단기쉼터,서울,관악구,서울 관악구 신림로 376 대경빌딩 3층,02-876-7942,2022-07-31
서울시립금천청소년단기쉼터,서울,금천구,서울 금천구 가산디지털단지1로 120,02-3281-8200,2022-07-31
서울시립망우청소년단기쉼터,서울,중랑구,서울 중랑구 송림길 156 (망우동),02-493-1388,2022-07-31
서울시립신림청소년중장기쉼터,서울,관악구,"서울 관악구 난곡로 24가길 54, 301호",02-3281-7942,2022-07-31
서울시립금천청소년중장기쉼터,서울,금천구,서울 금천구 독산로73길 10-16(독산동),02-6959-1011,2022-07-31
서울시립은평여자중장기청소년쉼터,서울,은평구,서울 은평구 통일로 92길 37-6 (불광동 동산홈타운),02-6959-2401,2022-07-31
어울림청소년쉼터,서울,강서구,"서울 강서구 공항대로48길 76, 예루뜨빌 303호",02-302-9006,2022-07-31
부산광역시일시청소년쉼터(이동형),부산,사상구,부산 사상구 모덕로 82 부산광역시청소년종합지원센터 1층 112호,051-303-9677,2022-07-31
부산광역시일시청소년쉼터(고정형),부산,사상구,부산 사상구 모덕로 82 부산광역시청소년종합지원센터 1층 122호,051-303-9670,2022-07-31
부산광역시남자단기청소년쉼터,부산,사상구,부산 사상구 모덕로 82 부산광역시청소년종합지원센터 2층 211호,051-303-9672,2022-07-31
부산광역시여자단기청소년쉼터,부산,수영구,부산 수영구 광안해변로 255번길 58(구. 부산광역시 민락동165-7),051-756-0924,2022-07-31
부산광역시여자중장기청소년쉼터,부산,금정구,"부산 금정구 팔송로 39번길 109, 2층",051-581-1388,2022-07-31
대구광역시이동형일시청소년쉼터(다온),대구,남구,대구 남구 명덕로34길 16 302호,053-754-1388,2022-07-31
대구광역시일시청소년쉼터,대구,수성구,대구 수성구 동원로 1길 5 흥사단회관2층(범어동),053-765-1388,2022-07-31
달서구청소년쉼터,대구,달서구,대구 달서구 와룡로 10안길 11,053-526-1317,2022-07-31
대구광역시여자단기청소년쉼터,대구,중구,"대구 중구 중앙대로 81길 66-5, 4층",053-659-6290,2022-07-31
대구광역시남자중장기청소년쉼터,대구,중구,대구 중구 남산로 8길 14(3층),053-426-2275,2022-07-31
대구광역시중장기여자청소년쉼터,대구,달서구,대구 달서구 당산로 106(성당동 4층),053-426-2276,2022-07-31
인천시일시청소년쉼터 (꿈꾸는별),인천,연수구,인천 연수구 원인재로 156,032-817-1318,2022-07-31
인천시일시청소년쉼터 (한울타리),인천,부평구,"인천 부평구 경인로 1059번길 10, 3층",032-516-1318,2022-07-31
"인천시단기청소년쉼터 (남자, 우리들)",인천,부평구,"인천 부평구 아트센터로 60번길 4, 금강쉐르빌 201호",032-442-1388,2022-07-31
"인천시단기청소년쉼터 (남자,바다의별)",인천,미추홀구,인천 미추홀구 남주길 125번길 5 (주안동),032-438-1318,2022-07-31
"인천시단기청소년쉼터 (여자, 하늘목장)",인천,부평구,"인천 부평구 수변로 45-2, 201호",032-528-2216,2022-07-31
"인천시단기청소년쉼터 (여자, 하모니)",인천,남동구,인천 남동구 인주대로 801 대영빌딩 5층,032-468-1318,2022-07-31
"인천시청소년중장기쉼터 (남자, 별마루)",인천,미추홀구,"인천 미추홀구 제일로40번길 85, 401호(대창스페이스빌라 가동)",032-875-7718,2022-07-31
"인천시중장기청소년쉼터 (여자, 예꿈)",인천,남동구,인천 남동구 백범로 157번길 34-15 원빌리지 301호,032-465-1393,2022-07-31
광주광역시청소년일시쉼터(이동형),광주,남구,광주 남구 제중로46번길 3층,062-527-1318,2022-07-31
광주광역시남자단기청소년쉼터,광주,북구,"광주 북구 면앙로 87, 3층",062-227-1388,2022-07-31
광주광역시여자단기청소년쉼터,광주,북구,"광주 북구 중가로43, 5층",062-525-1318,2022-07-31
광주광역시남자중장기청소년쉼터,광주,서구,광주 서구 풍금로24번길 5-1 풍암빌404호,062-714-1388,2022-07-31
광주광역시여자중장기청소년쉼터(맥지쉼터),광주,동구,"광주 동구 지원로 34, 5층",062-366-1318,2022-07-31
대전광역시청소년이동일시쉼터,대전,중구,대전 중구 동서대로 1466번길 53,042-221-1092,2022-07-31
대전광역시청소년드롭인센터,대전,동구,대전 동구 우암로 159 503호 지앤지 빌딩,042-673-1092,2022-07-31
대전남자단기청소년쉼터,대전,중구,대전 중구 대종로488번길9 보육정보센터 5층,042-223-7179,2022-07-31
대전여자단기청소년쉼터,대전,중구,대전 중구 대종로488번길9 보육정보센터 4층,042-256-7942,2022-07-31
대전시남자중장기청소년쉼터,대전,서구,대전 서구 계롱로342번길 108 현진빌라 402호,042-528-7179,2022-07-31
대전광역시중장기청소년쉼터(여자),대전,서구,대전 서구 도솔로 251번길 18-54 상희빌402호/403호,042-534-0179,2022-07-31
울산광역시일시청소년쉼터,울산,중구,울산 중구 먹자거리 31(성남동) 2층,052-245-1388,2022-07-31
울산광역시남자단기청소년쉼터,울산,북구,울산 북구 화동11길 28(화봉동),052-261-1388,2022-07-31
울산남구여자단기청소년쉼터,울산,남구,울산 남구 돋질로27번길 14(신정동) 쉼플러스,052-269-1388,2022-07-31
울산울주군남자중장기청소년쉼터,울산,울주군,울산 울주군 웅촌면 대복2길 18-1,052-223-5186,2022-07-31
울산남구여자중장기청소년쉼터,울산,남구,"울산 남구 꽃대나리로 15번길 6, 드림타운",052-265-1388,2022-07-31
김포시이동형일시청소년쉼터,경기,김포시,경기 김포시 걸포로 76 김포중봉청소년수련관 3층,031-980-1605,2022-07-31
의정부시일시청소년쉼터(이동형),경기,의정부시,"경기 의정부시 신흥로 395, 5층(가능동)",031-871-1318,2022-07-31
성남시 일시청소년쉼터,경기,성남시,"경기 성남시 중원구 광명로 5, 10층",031-758-1388,2022-07-31
부천시청소년일시쉼터,경기,부천시,경기 부천시 부천로54번길 9(심곡동),032-654-1318,2022-07-31
안양시일시청소년쉼터 민들레뜨락,경기,안양시,경기 안양시 만안구 안양로 263번길 31(안양동),031-464-1388,2022-07-31
남양주시 일시청소년쉼터,경기,남양주,경기 남양주시 홍유릉로 248번길 39 다남빌딩 203호,031-591-1319,2022-07-31
고양남자단기청소년쉼터 둥지,경기,고양시,경기 고양시 일산동구 견달산로 161번길 77,031-969-0091,2022-07-31
성남시 남자단기청소년쉼터,경기,성남시,경기 성남시 수정구 위례서일로 12 우남이타워프라자8층,031-722-6260,2022-07-31
수원남자단기청소년쉼터(청소년달보듬터),경기,수원시,"경기 수원시 권선구 경수대로261(세류동, 리치타워 3층)",031-216-8353,2022-07-31
시흥시남자단기청소년쉼터(꿈다락),경기,시흥시,경기 시흥시 시흥대로 1073번길 4-2,031-314-9072,2022-07-31
안산시남자단기청소년쉼터(징검다리),경기,안산시,"경기 안산시 단원구 원포공원1로 35, 제일프라자 501호",031-481-8232,2022-07-31
안양남자단기청소년쉼터(FORYOU),경기,안양시,"경기 안양시 동안구 관악대로 346 (관양동, 코오롱동산타워) 상가동 401호",031-455-9182,2022-07-31
용인남자단기청소년쉼터(푸른꿈),경기,용인시,경기 용인시 수지구 문인로39번길 7(풍덕천동 667-3),031-276-0770,2022-07-31
의정부시남자단기청소년쉼터,경기,의정부시,"경기 의정부시 경의로56, 유풍빌딩 5층",031-829-1318,2022-07-31
구리여자단기청소년쉼터(보금자리),경기,구리시,경기 구리시 안골로 32-1,031-564-7707,2022-07-31
부천모퉁이여자단기청소년쉼터,경기,부천시,경기 부천시 부일로 763번길 16-23(역곡동),032-343-1880,2022-07-31
성남시 여자단기청소년쉼터,경기,성남시,경기 성남시 중원구 마지로29 럭키참조은 202호,031-758-1213,2022-07-31
수원여자단기청소년쉼터,경기,수원시,"경기 수원시 팔달구 행궁로 77, 3층 (송산빌딩)",031-216-8677 ,2022-07-31
시흥시여자단기청소년쉼터,경기,시흥시,"경기 시흥시 오동마을로 33, 금광빌딩 5층",031-434-1318,2022-07-31
안산시여자단기청소년쉼터,경기,안산시,경기 안산시 상록구 예술대학로8길 17(월피동),031-486-0079,2022-07-31
화성시여자단기청소년쉼터,경기,화성시,"경기 화성시 봉담읍 매봉로 478, 대호프라자 303호",031-227-7935,2022-07-31
오산시립여자단기청소년쉼터,경기,오산시,경기 오산시 오산로 (궐동) 366,031-374-1388,2022-07-31
의정부시여자단기청소년쉼터,경기,의정부시,"경기 의정부시 비우로 12, 청소년비전센터 3,4층",031-837-1318,2022-07-31
이천시여자단기청소년쉼터(나르샤),경기,이천시,"경기 이천시 영창로227번길 28, 대호 2차@ 111호",031-631-7305,2022-07-31
평택시여자단기청소년쉼터,경기,평택시,경기 평택시 매봉산4길 26(비전동825-15),031-652-1384,2022-07-31
구리남자중장기청소년쉼터(민들레),경기,구리시,"경기 구리시 검배로 51, 4층(수택동)",031-568-1318,2022-07-31
군포남자중장기청소년쉼터(하나로),경기,군포시,경기 군포시 군포로 789 온누리청소년센터,031-399-7997,2022-07-31
성남시남자중장기청소년쉼터,경기,성남시,경기 성남시 중원구 성남대로1151번길 25 (성남동),031-752-9050,2022-07-31
하남시남자중장기청소년쉼터,경기,하남시,"경기 하남시 대청로 33 (신장동) 현대베스코아 1001, 1002호",031-791-1337,2022-07-31
고양여자중장기청소년쉼터,경기,고양시,"경기 고양시 일산서구 고양대로 706-37, 302호, 304호, 401호(고양센텀빌C동)",031-918-1366,2022-07-31
성남시여자중장기청소년쉼터,경기,성남시,"경기 성남시 중원구 원터로 106번길 4, 요림빌딩 3층",031-758-1720,2022-07-31
안양여자중장기청소년쉼터(호숙),경기,안양시,경기 안양시 동안구 경수대로 606 봉성빌딩 5층(호계동),031-468-5141,2022-07-31
용인여자중장기청소년쉼터(푸른꿈),경기,용인시,경기 용인시 수지구 풍덕천로 189번길 4-11(풍덕천동 738-9),031-264-7733,2022-07-31
강원도일시청소년쉼터(이동형),강원,춘천시,"강원 춘천시 동면 춘천로 527-40, 1층",033-255-1005,2022-07-31
강원도일시청소년쉼터(고정형),강원,춘천시,"강원 춘천시 후석로379번길 27, 3층",033-256-0924,2022-07-31
원주시일시청소년쉼터(고정형),강원,원주시,강원 원주시 북원로 2718번길 17(101호-102호),033-742-0924,2022-07-31
강원도남자단기청소년쉼터,강원,춘천시,강원 춘천시 후석로379번길 27 4층,033-255-1002,2022-07-31
강릉시여자단기청소년쉼터,강원,강릉시,"강원 강릉시 금성로 28-2, 2층(금학동)",033-655-1424,2022-07-31
원주시여자단기청소년쉼터,강원,원주시,강원 원주시 라옹정길 3-21 1층,033-761-7591,2022-07-31
강원도여자단기청소년쉼터,강원,춘천시,강원 춘천시 동면 춘천로527-40 2층,033-255-1004,2022-07-31
강원도남자중장기청소년쉼터,강원,춘천시,강원 춘천시 화목원길 166,033-244-5118,2022-07-31
강원도여자중장기청소년쉼터,강원,춘천시,강원 춘천시 동면 춘천로527-40,033-256-7179,2022-07-31
청주시청소년일시이동쉼터,충북,청주시,충북 청주시 상당구 상당로26번길 21(서운동),043-225-1888,2022-07-31
청주남자단기청소년쉼터,충북,청주시,충북 청주시 서원구 구룡산로 331-9 (수곡동),043-231-2676,2022-07-31
친구청소년쉼터(남자),충북,충주시,충북 충주시 금봉3길 27 (용산동),043-911-3479,2022-07-31
제천여자단기청소년쉼터,충북,제천시,충북 제천시 고암로4가길 3,043-643-7946,2022-07-31
청주시여자단기청소년쉼터느티나무,충북,청주시,충북 청주시 서원구 안뜸로26번길 10 (분평동) 402호,043-231-2676,2022-07-31
충청북도중장기청소년쉼터,충북,청주시,충북 청주시 흥덕구 신율로166 (3층),043-266-2204,2022-07-31
충주시여자중장기청소년쉼터,충북,충주시,충북 충주시 봉현로 109,043-852-0924,2022-07-31
아산시남자단기청소년쉼터,충남,아산시,충남 아산시 삼동로 29 (온천동) 성심빌딩4층,041-578-1388,2022-07-31
천안남자단기청소년쉼터,충남,천안시,충남 천안시 서북구 개목5길 34 (성정동),041-548-1326,2022-07-31
