"가정별","인구종류별",2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","학령인구(천명): 초등학교(6-11세)",2724,2718,2701,2604,2480,2337,2192,2020,1848,1707,1592,1508,1467,1458,1474,1515,1578,1648,1711,1767,1814,1853,1879,1887,1880,1860,1829,1790,1751,1717,1688,1664,1642,1621,1599,1573,1543,1507,1465,1419,1370,1319,1269,1223,1181,1145,1118,1099,1089,1086,1091
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","학령인구(천명): 중학교(12-14세)",1364,1379,1366,1362,1382,1400,1355,1327,1294,1246,1151,1041,946,870,808,763,725,702,707,735,774,811,845,875,902,923,940,953,957,948,928,904,882,864,849,836,826,817,808,797,784,768,748,725,701,674,648,622,599,578,562
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","학령인구(천명): 고등학교(15-17세)",1390,1344,1322,1360,1374,1363,1359,1380,1398,1353,1325,1293,1244,1150,1041,946,870,809,763,726,703,708,736,775,812,846,876,902,923,940,953,957,948,928,904,883,864,849,837,827,818,809,798,785,768,749,726,702,675,649,623
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","학령인구(천명): 대학교(18-21세)",2410,2258,2093,1933,1857,1838,1847,1854,1862,1886,1874,1886,1876,1839,1798,1723,1637,1515,1378,1265,1176,1102,1046,1011,1002,1020,1061,1111,1157,1199,1237,1268,1294,1314,1323,1318,1301,1274,1244,1217,1195,1177,1162,1149,1137,1124,1108,1088,1064,1036,1005
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","청소년인구(천명): 계(9-24세)",8638,8390,8147,7913,7738,7550,7342,7180,7025,6842,6669,6491,6280,6031,5818,5624,5408,5214,5040,4905,4770,4656,4590,4566,4573,4605,4648,4694,4747,4804,4853,4886,4902,4903,4890,4863,4824,4772,4708,4632,4545,4453,4360,4266,4172,4078,3982,3887,3793,3701,3613
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제순이동-고위)","학령인구(천명): 초등학교(6-11세)",2724,2718,2701,2607,2484,2343,2200,2032,1877,1775,1721,1709,1739,1798,1868,1940,2010,2074,2131,2179,2218,2248,2266,2269,2258,2236,2205,2167,2128,2093,2063,2035,2010,1984,1957,1926,1891,1852,1810,1766,1722,1680,1643,1612,1590,1577,1573,1577,1588,1605,1625
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제순이동-고위)","학령인구(천명): 중학교(12-14세)",1364,1379,1367,1363,1384,1403,1358,1330,1299,1251,1157,1048,954,880,835,827,848,881,918,956,993,1028,1059,1086,1108,1125,1137,1145,1146,1137,1117,1095,1073,1055,1039,1025,1014,1002,990,977,961,942,921,898,874,851,830,812,798,789,785
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제순이동-고위)","학령인구(천명): 고등학교(15-17세)",1390,1344,1322,1361,1376,1365,1362,1384,1403,1358,1330,1299,1252,1158,1049,955,881,836,829,850,882,919,958,995,1029,1060,1087,1109,1126,1138,1146,1147,1138,1118,1096,1075,1056,1040,1027,1015,1004,992,978,962,943,922,900,876,853,832,814
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제순이동-고위)","학령인구(천명): 대학교(18-21세)",2410,2258,2096,1940,1867,1848,1859,1866,1875,1900,1889,1901,1892,1856,1816,1742,1657,1536,1399,1288,1216,1180,1183,1217,1263,1312,1362,1409,1453,1491,1523,1549,1568,1582,1587,1580,1562,1536,1507,1481,1458,1439,1422,1406,1390,1373,1353,1330,1304,1275,1245
"고위 추계(최대인구 추계: 출산율-고위 / 기대수명-고위 / 국제순이동-고위)","청소년인구(천명): 계(9-24세)",8638,8390,8155,7936,7772,7590,7388,7229,7077,6897,6730,6571,6402,6216,6076,5955,5812,5688,5584,5517,5448,5398,5394,5431,5497,5588,5688,5778,5853,5911,5951,5973,5979,5970,5946,5909,5860,5799,5727,5645,5552,5456,5360,5266,5175,5086,5001,4921,4847,4779,4719
