지역,소계,비행_가출_부랑,학대,부모빈곤_실직,부모사망,부모질병,부모이혼등
서울,9740,1451,1232,440,328,36,870
부산,1629,14,498,74,178,57,345
대구,1088,148,337,120,76,52,186
인천,1469,34,488,66,136,23,419
광주,1046,20,266,79,63,72,232
대전,981,377,298,37,50,38,107
울산,549,7,207,29,58,17,192
세종,59,0,28,3,2,2,21
경기,4541,155,1887,298,486,97,1030
강원,1515,22,407,107,174,35,595
충북,1114,37,323,59,78,29,380
충남,1234,16,473,98,88,43,412
전북,1913,256,803,144,123,54,399
전남,1905,21,595,139,170,43,590
경북,1383,24,554,98,181,49,403
경남,1507,40,629,80,203,36,430
제주,517,3,164,30,48,25,156
계,32190,2625,9189,1901,2442,708,6767
